 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,, 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,
,,,,,, 中華民國111年底 ,,,,,,,,,,,,,, 中華民國111年底 ,,,,,,,,   單位：人 ,
 區 域 別 , 性別 , 總     計 , 0 ,,, 1～4 ,,, 5～9 , 10～14 , 15～19 , 20～24 , 25～29 , 30～34 , 35～39 , 40～44 , 45～49 , 50～54 , 55～59 , 60～64 , 65～69 , 70～74 , 75～79 , 80～84 , 85～89 , 90～94 , 95～99 , 100+ ,
,,,, 小  計 , 1 , 2 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,,
 花 蓮 縣 , 男 ," 160,701 "," 1,014 "," 4,610 "," 1,048 "," 1,093 "," 1,220 "," 1,249 "," 6,736 "," 6,626 "," 7,538 "," 9,957 "," 11,881 "," 10,956 "," 10,841 "," 12,692 "," 12,019 "," 12,697 "," 13,041 "," 12,296 "," 10,732 "," 7,344 "," 3,984 "," 3,007 "," 1,627 ", 778 , 277 , 48 ,
, 女 ," 158,191 ", 885 ," 4,241 "," 1,025 ", 981 ," 1,097 "," 1,138 "," 6,196 "," 5,939 "," 6,835 "," 9,079 "," 10,957 "," 9,858 "," 9,903 "," 12,015 "," 12,037 "," 12,442 "," 12,241 "," 12,627 "," 11,056 "," 8,505 "," 5,110 "," 4,316 "," 2,520 "," 1,100 ", 290 , 39 ,
, 計 ," 107,223 ", 745 ," 3,323 ", 877 , 872 , 856 , 718 ," 3,415 "," 3,151 "," 4,856 "," 7,810 "," 8,355 "," 7,823 "," 7,641 "," 8,408 "," 7,986 "," 7,973 "," 8,155 "," 8,001 "," 6,619 "," 5,040 "," 2,853 "," 2,320 "," 1,710 ", 800 , 212 , 27 ,
 澎 湖 縣 , 男 ," 55,054 ", 371 ," 1,736 ", 454 , 463 , 433 , 386 ," 1,824 "," 1,618 "," 2,627 "," 4,292 "," 4,521 "," 4,125 "," 3,982 "," 4,190 "," 3,984 "," 4,143 "," 4,319 "," 4,136 "," 3,383 "," 2,432 "," 1,311 ", 986 , 684 , 306 , 76 , 8 ,
, 女 ," 52,169 ", 374 ," 1,587 ", 423 , 409 , 423 , 332 ," 1,591 "," 1,533 "," 2,229 "," 3,518 "," 3,834 "," 3,698 "," 3,659 "," 4,218 "," 4,002 "," 3,830 "," 3,836 "," 3,865 "," 3,236 "," 2,608 "," 1,542 "," 1,334 "," 1,026 ", 494 , 136 , 19 ,
, 計 ," 361,526 "," 1,483 "," 8,198 "," 1,813 "," 1,969 "," 2,118 "," 2,298 "," 12,992 "," 12,909 "," 14,858 "," 20,858 "," 25,778 "," 24,580 "," 22,986 "," 28,355 "," 27,850 "," 29,417 "," 30,704 "," 30,776 "," 26,375 "," 19,417 "," 9,308 "," 7,982 "," 4,219 "," 1,802 ", 558 , 121 ,
 基 隆 市 , 男 ," 180,012 ", 790 ," 4,282 ", 962 ," 1,010 "," 1,104 "," 1,206 "," 6,720 "," 6,669 "," 7,794 "," 10,864 "," 13,522 "," 13,161 "," 11,947 "," 14,177 "," 13,813 "," 14,560 "," 15,239 "," 15,084 "," 12,507 "," 8,999 "," 4,125 "," 3,219 "," 1,537 ", 704 , 233 , 66 ,
, 女 ," 181,514 ", 693 ," 3,916 ", 851 , 959 ," 1,014 "," 1,092 "," 6,272 "," 6,240 "," 7,064 "," 9,994 "," 12,256 "," 11,419 "," 11,039 "," 14,178 "," 14,037 "," 14,857 "," 15,465 "," 15,692 "," 13,868 "," 10,418 "," 5,183 "," 4,763 "," 2,682 "," 1,098 ", 325 , 55 ,
, 計 ," 452,473 "," 3,034 "," 16,945 "," 3,862 "," 4,009 "," 4,474 "," 4,600 "," 27,379 "," 26,239 "," 23,670 "," 25,878 "," 28,475 "," 29,864 "," 34,063 "," 44,004 "," 37,952 "," 33,716 "," 29,943 "," 27,258 "," 23,149 "," 17,146 "," 9,534 "," 7,375 "," 4,101 "," 2,011 ", 632 , 105 ,
 新 竹 市 , 男 ," 223,265 "," 1,575 "," 8,799 "," 1,976 "," 2,100 "," 2,322 "," 2,401 "," 14,168 "," 13,760 "," 12,312 "," 13,512 "," 14,676 "," 15,374 "," 16,620 "," 21,220 "," 18,651 "," 16,471 "," 14,763 "," 13,108 "," 10,753 "," 7,766 "," 4,085 "," 2,879 "," 1,570 ", 827 , 322 , 54 ,
, 女 ," 229,208 "," 1,459 "," 8,146 "," 1,886 "," 1,909 "," 2,152 "," 2,199 "," 13,211 "," 12,479 "," 11,358 "," 12,366 "," 13,799 "," 14,490 "," 17,443 "," 22,784 "," 19,301 "," 17,245 "," 15,180 "," 14,150 "," 12,396 "," 9,380 "," 5,449 "," 4,496 "," 2,531 "," 1,184 ", 310 , 51 ,
, 計 ," 262,924 "," 1,186 "," 7,248 "," 1,564 "," 1,632 "," 1,919 "," 2,133 "," 12,132 "," 12,730 "," 13,243 "," 16,959 "," 18,618 "," 16,731 "," 17,360 "," 21,270 "," 19,997 "," 20,084 "," 20,219 "," 18,635 "," 16,099 "," 12,448 "," 7,078 "," 5,699 "," 3,373 "," 1,425 ", 346 , 44 ,
