 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,, 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,
,,,,,, 中華民國110年底 ,,,,,,,,,,,,,, 中華民國110年底 ,,,,,,,,   單位：人 
 區 域 別 , 性別 , 總     計 , 0 ,,, 1～4 ,,, 5～9 , 10～14 , 15～19 , 20～24 , 25～29 , 30～34 , 35～39 , 40～44 , 45～49 , 50～54 , 55～59 , 60～64 , 65～69 , 70～74 , 75～79 , 80～84 , 85～89 , 90～94 , 95～99 , 100+ 
,,,, 小  計 , 1 , 2 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,
 花 蓮 縣 , 男 ," 162,401 "," 1,016 "," 4,853 "," 1,100 "," 1,219 "," 1,247 "," 1,287 "," 6,924 "," 6,660 "," 7,963 "," 10,592 "," 11,970 "," 10,762 "," 11,429 "," 12,711 "," 12,113 "," 13,020 "," 13,138 "," 12,231 "," 10,383 "," 6,924 "," 3,926 "," 2,958 "," 1,658 ", 857 , 266 , 47 
, 女 ," 158,957 ", 994 ," 4,373 ", 996 ," 1,097 "," 1,122 "," 1,158 "," 6,373 "," 5,918 "," 7,188 "," 9,704 "," 10,931 "," 9,674 "," 10,568 "," 11,981 "," 12,099 "," 12,372 "," 12,426 "," 12,562 "," 10,826 "," 7,856 "," 5,150 "," 4,099 "," 2,467 "," 1,089 ", 271 , 36 
, 計 ," 106,340 ", 857 ," 3,382 ", 890 , 894 , 755 , 843 ," 3,432 "," 3,063 "," 5,063 "," 8,176 "," 8,209 "," 7,609 "," 7,839 "," 8,350 "," 7,849 "," 7,931 "," 8,112 "," 7,645 "," 6,337 "," 4,519 "," 2,831 "," 2,370 "," 1,752 ", 801 , 191 , 22 
 澎 湖 縣 , 男 ," 54,729 ", 451 ," 1,782 ", 474 , 451 , 405 , 452 ," 1,831 "," 1,569 "," 2,702 "," 4,492 "," 4,445 "," 3,984 "," 4,033 "," 4,187 "," 3,949 "," 4,195 "," 4,323 "," 3,992 "," 3,199 "," 2,164 "," 1,304 "," 1,045 ", 688 , 319 , 66 , 9 
, 女 ," 51,611 ", 406 ," 1,600 ", 416 , 443 , 350 , 391 ," 1,601 "," 1,494 "," 2,361 "," 3,684 "," 3,764 "," 3,625 "," 3,806 "," 4,163 "," 3,900 "," 3,736 "," 3,789 "," 3,653 "," 3,138 "," 2,355 "," 1,527 "," 1,325 "," 1,064 ", 482 , 125 , 13 
, 計 ," 363,977 "," 1,741 "," 8,417 "," 1,891 "," 2,068 "," 2,198 "," 2,260 "," 13,560 "," 12,786 "," 15,664 "," 22,449 "," 25,860 "," 24,289 "," 24,197 "," 28,326 "," 27,879 "," 29,965 "," 31,386 "," 30,212 "," 26,165 "," 17,501 "," 8,988 "," 7,891 "," 4,131 "," 1,901 ", 555 , 114 
 基 隆 市 , 男 ," 181,479 ", 915 ," 4,362 ", 975 ," 1,072 "," 1,150 "," 1,165 "," 6,975 "," 6,643 "," 8,214 "," 11,643 "," 13,582 "," 13,015 "," 12,492 "," 14,075 "," 13,905 "," 14,940 "," 15,591 "," 14,812 "," 12,417 "," 8,157 "," 3,940 "," 3,137 "," 1,574 ", 769 , 258 , 63 
, 女 ," 182,498 ", 826 ," 4,055 ", 916 , 996 ," 1,048 "," 1,095 "," 6,585 "," 6,143 "," 7,450 "," 10,806 "," 12,278 "," 11,274 "," 11,705 "," 14,251 "," 13,974 "," 15,025 "," 15,795 "," 15,400 "," 13,748 "," 9,344 "," 5,048 "," 4,754 "," 2,557 "," 1,132 ", 297 , 51 
, 計 ," 452,640 "," 3,498 "," 17,849 "," 3,910 "," 4,422 "," 4,541 "," 4,976 "," 28,830 "," 25,119 "," 24,065 "," 26,828 "," 28,175 "," 29,873 "," 36,332 "," 43,709 "," 36,929 "," 33,161 "," 30,212 "," 26,490 "," 22,722 "," 15,738 "," 9,205 "," 7,160 "," 4,024 "," 2,031 ", 600 , 90 
 新 竹 市 , 男 ," 223,596 "," 1,767 "," 9,293 "," 2,060 "," 2,299 "," 2,359 "," 2,575 "," 14,892 "," 13,260 "," 12,531 "," 13,928 "," 14,514 "," 15,317 "," 17,687 "," 21,030 "," 18,234 "," 16,312 "," 14,914 "," 12,692 "," 10,572 "," 7,148 "," 3,883 "," 2,797 "," 1,593 ", 890 , 298 , 44 
, 女 ," 229,044 "," 1,731 "," 8,556 "," 1,850 "," 2,123 "," 2,182 "," 2,401 "," 13,938 "," 11,859 "," 11,534 "," 12,900 "," 13,661 "," 14,556 "," 18,645 "," 22,679 "," 18,695 "," 16,849 "," 15,298 "," 13,798 "," 12,150 "," 8,590 "," 5,322 "," 4,363 "," 2,431 "," 1,141 ", 302 , 46 
, 計 ," 264,727 "," 1,396 "," 7,618 "," 1,549 "," 1,855 "," 2,065 "," 2,149 "," 12,783 "," 12,475 "," 13,907 "," 17,962 "," 18,367 "," 16,741 "," 18,449 "," 21,236 "," 19,926 "," 20,230 "," 20,387 "," 18,258 "," 15,944 "," 11,462 "," 6,836 "," 5,626 "," 3,294 "," 1,440 ", 348 , 42 
 嘉 義 市 , 男 ," 127,842 ", 722 ," 3,989 ", 795 , 946 ," 1,093 "," 1,155 "," 6,587 "," 6,590 "," 7,242 "," 9,341 "," 9,416 "," 8,519 "," 8,849 "," 9,945 "," 9,077 "," 9,407 "," 9,733 "," 8,640 "," 7,544 "," 5,121 "," 2,863 "," 2,269 "," 1,247 ", 573 , 150 , 18 
