 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,, 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,
,,,,,, 中華民國114年底 ,,,,,,,,,,,,,, 中華民國114年底 ,,,,,,,   單位：人 ,,
 區 域 別 , 性別 , 總     計 , 0 ,,, 1～4 ,,, 5～9 , 10～14 , 15～19 , 20～24 , 25～29 , 30～34 , 35～39 , 40～44 , 45～49 , 50～54 , 55～59 , 60～64 , 65～69 , 70～74 , 75～79 , 80～84 , 85～89 , 90～94 , 95～99 , 100+ ,
,,,, 小  計 , 1 , 2 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,,
 雲 林 縣 , 男 ," 334,243 "," 1,993 "," 8,201 "," 2,570 "," 1,769 "," 1,809 "," 2,053 "," 11,685 "," 13,429 "," 14,171 "," 18,681 "," 23,216 "," 21,776 "," 21,271 "," 25,140 "," 27,864 "," 25,207 "," 27,749 "," 27,750 "," 22,535 "," 18,152 "," 11,196 "," 7,300 "," 4,824 "," 1,740 ", 330 , 33 ,
, 女 ," 316,746 "," 1,872 "," 7,516 "," 2,348 "," 1,617 "," 1,654 "," 1,897 "," 10,976 "," 12,828 "," 12,711 "," 16,994 "," 20,973 "," 19,566 "," 18,452 "," 23,907 "," 26,821 "," 23,013 "," 22,677 "," 22,904 "," 20,630 "," 18,716 "," 13,185 "," 10,306 "," 7,943 "," 3,731 ", 916 , 109 ,
, 計 ," 473,181 "," 1,582 "," 9,092 "," 2,333 "," 2,222 "," 2,137 "," 2,400 "," 13,410 "," 15,022 "," 17,278 "," 25,385 "," 32,205 "," 30,792 "," 28,005 "," 33,572 "," 36,915 "," 35,250 "," 39,391 "," 41,213 "," 36,096 "," 29,701 "," 18,712 "," 13,523 "," 10,224 "," 4,531 "," 1,167 ", 115 ,
 嘉 義 縣 , 男 ," 244,656 ", 807 ," 4,724 "," 1,211 "," 1,150 "," 1,112 "," 1,251 "," 6,852 "," 7,883 "," 9,120 "," 13,307 "," 17,155 "," 16,764 "," 15,454 "," 17,661 "," 18,794 "," 18,120 "," 21,302 "," 22,460 "," 19,185 "," 14,937 "," 8,672 "," 5,656 "," 3,912 "," 1,507 ", 346 , 38 ,
, 女 ," 228,525 ", 775 ," 4,368 "," 1,122 "," 1,072 "," 1,025 "," 1,149 "," 6,558 "," 7,139 "," 8,158 "," 12,078 "," 15,050 "," 14,028 "," 12,551 "," 15,911 "," 18,121 "," 17,130 "," 18,089 "," 18,753 "," 16,911 "," 14,764 "," 10,040 "," 7,867 "," 6,312 "," 3,024 ", 821 , 77 ,
, 計 ," 782,256 "," 3,416 "," 17,350 "," 4,363 "," 4,268 "," 4,093 "," 4,626 "," 27,386 "," 29,975 "," 29,360 "," 40,123 "," 52,973 "," 53,703 "," 49,069 "," 57,592 "," 63,863 "," 58,025 "," 63,632 "," 64,910 "," 57,387 "," 47,818 "," 29,162 "," 18,545 "," 12,115 "," 4,666 "," 1,057 ", 129 ,
 屏 東 縣 , 男 ," 395,140 "," 1,778 "," 8,933 "," 2,261 "," 2,151 "," 2,119 "," 2,402 "," 14,200 "," 15,602 "," 15,385 "," 20,819 "," 27,929 "," 28,558 "," 26,189 "," 29,787 "," 32,629 "," 29,110 "," 32,736 "," 32,664 "," 28,017 "," 22,634 "," 13,199 "," 7,957 "," 4,894 "," 1,691 ", 381 , 48 ,
, 女 ," 387,116 "," 1,638 "," 8,417 "," 2,102 "," 2,117 "," 1,974 "," 2,224 "," 13,186 "," 14,373 "," 13,975 "," 19,304 "," 25,044 "," 25,145 "," 22,880 "," 27,805 "," 31,234 "," 28,915 "," 30,896 "," 32,246 "," 29,370 "," 25,184 "," 15,963 "," 10,588 "," 7,221 "," 2,975 ", 676 , 81 ,
, 計 ," 208,320 "," 1,068 "," 5,282 "," 1,376 "," 1,286 "," 1,256 "," 1,364 "," 7,576 "," 8,463 "," 8,615 "," 11,031 "," 14,092 "," 14,158 "," 12,832 "," 14,933 "," 16,210 "," 16,320 "," 17,205 "," 16,942 "," 14,582 "," 12,003 "," 7,432 "," 4,749 "," 3,049 "," 1,315 ", 398 , 65 ,
 臺 東 縣 , 男 ," 105,848 ", 523 ," 2,734 ", 699 , 674 , 630 , 731 ," 3,979 "," 4,409 "," 4,484 "," 5,749 "," 7,290 "," 7,528 "," 6,888 "," 7,808 "," 8,322 "," 8,420 "," 9,145 "," 8,813 "," 7,230 "," 5,501 "," 3,230 "," 1,937 "," 1,136 ", 501 , 186 , 35 ,
, 女 ," 102,472 ", 545 ," 2,548 ", 677 , 612 , 626 , 633 ," 3,597 "," 4,054 "," 4,131 "," 5,282 "," 6,802 "," 6,630 "," 5,944 "," 7,125 "," 7,888 "," 7,900 "," 8,060 "," 8,129 "," 7,352 "," 6,502 "," 4,202 "," 2,812 "," 1,913 ", 814 , 212 , 30 ,
, 計 ," 312,807 "," 1,413 "," 7,562 "," 1,781 "," 1,790 "," 1,930 "," 2,061 "," 11,639 "," 12,948 "," 12,846 "," 15,965 "," 20,766 "," 21,656 "," 19,293 "," 22,852 "," 24,745 "," 23,818 "," 24,991 "," 25,011 "," 22,763 "," 18,836 "," 11,375 "," 7,112 "," 4,593 "," 1,932 ", 609 , 82 ,
 花 蓮 縣 , 男 ," 156,629 ", 743 ," 3,912 ", 923 , 920 ," 1,023 "," 1,046 "," 6,092 "," 6,804 "," 6,766 "," 8,289 "," 10,918 "," 11,323 "," 10,172 "," 11,694 "," 12,460 "," 11,750 "," 12,784 "," 12,439 "," 10,979 "," 8,847 "," 5,009 "," 2,888 "," 1,765 ", 696 , 251 , 48 ,
, 女 ," 156,178 ", 670 ," 3,650 ", 858 , 870 , 907 ," 1,015 "," 5,547 "," 6,144 "," 6,080 "," 7,676 "," 9,848 "," 10,333 "," 9,121 "," 11,158 "," 12,285 "," 12,068 "," 12,207 "," 12,572 "," 11,784 "," 9,989 "," 6,366 "," 4,224 "," 2,828 "," 1,236 ", 358 , 34 ,
, 計 ," 106,716 ", 528 ," 2,857 ", 727 , 675 , 692 , 763 ," 3,313 "," 3,335 "," 4,108 "," 6,590 "," 7,785 "," 7,787 "," 7,182 "," 7,780 "," 8,190 "," 7,822 "," 8,284 "," 8,716 "," 7,753 "," 5,964 "," 3,769 "," 2,203 "," 1,657 ", 833 , 235 , 25 ,
 澎 湖 縣 , 男 ," 54,574 ", 259 ," 1,418 ", 356 , 331 , 337 , 394 ," 1,752 "," 1,764 "," 2,194 "," 3,645 "," 4,244 "," 4,141 "," 3,795 "," 3,888 "," 4,029 "," 4,006 "," 4,310 "," 4,525 "," 3,976 "," 2,898 "," 1,740 ", 973 , 640 , 285 , 83 , 9 ,
, 女 ," 52,142 ", 269 ," 1,439 ", 371 , 344 , 355 , 369 ," 1,561 "," 1,571 "," 1,914 "," 2,945 "," 3,541 "," 3,646 "," 3,387 "," 3,892 "," 4,161 "," 3,816 "," 3,974 "," 4,191 "," 3,777 "," 3,066 "," 2,029 "," 1,230 "," 1,017 ", 548 , 152 , 16 ,
, 計 ," 359,836 "," 1,052 "," 6,631 "," 1,521 "," 1,511 "," 1,682 "," 1,917 "," 12,052 "," 13,642 "," 13,424 "," 16,826 "," 23,816 "," 25,048 "," 23,120 "," 26,436 "," 28,940 "," 27,840 "," 29,888 "," 30,945 "," 28,483 "," 23,466 "," 13,250 "," 7,367 "," 5,014 "," 1,919 ", 550 , 127 ,
 基 隆 市 , 男 ," 178,300 ", 558 ," 3,495 ", 781 , 783 , 911 ," 1,020 "," 6,207 "," 7,034 "," 6,978 "," 8,947 "," 12,419 "," 13,223 "," 12,231 "," 13,430 "," 14,283 "," 13,712 "," 14,621 "," 15,154 "," 13,554 "," 10,741 "," 5,971 "," 3,039 "," 1,769 ", 652 , 212 , 70 ,
, 女 ," 181,536 ", 494 ," 3,136 ", 740 , 728 , 771 , 897 ," 5,845 "," 6,608 "," 6,446 "," 7,879 "," 11,397 "," 11,825 "," 10,889 "," 13,006 "," 14,657 "," 14,128 "," 15,267 "," 15,791 "," 14,929 "," 12,725 "," 7,279 "," 4,328 "," 3,245 "," 1,267 ", 338 , 57 ,
, 計 ," 455,740 "," 2,492 "," 14,275 "," 3,407 "," 3,353 "," 3,507 "," 4,008 "," 23,796 "," 28,512 "," 23,342 "," 23,460 "," 27,491 "," 30,149 "," 31,561 "," 40,047 "," 42,798 "," 34,108 "," 31,414 "," 28,665 "," 24,830 "," 21,108 "," 12,444 "," 7,587 "," 4,835 "," 2,032 ", 655 , 139 ,
 新 竹 市 , 男 ," 224,870 "," 1,330 "," 7,424 "," 1,802 "," 1,752 "," 1,820 "," 2,050 "," 12,336 "," 14,807 "," 12,257 "," 12,296 "," 14,210 "," 15,575 "," 16,070 "," 19,343 "," 20,800 "," 16,775 "," 15,367 "," 13,888 "," 11,528 "," 9,595 "," 5,454 "," 2,980 "," 1,741 ", 749 , 279 , 66 ,
, 女 ," 230,870 "," 1,162 "," 6,851 "," 1,605 "," 1,601 "," 1,687 "," 1,958 "," 11,460 "," 13,705 "," 11,085 "," 11,164 "," 13,281 "," 14,574 "," 15,491 "," 20,704 "," 21,998 "," 17,333 "," 16,047 "," 14,777 "," 13,302 "," 11,513 "," 6,990 "," 4,607 "," 3,094 "," 1,283 ", 376 , 73 ,
, 計 ," 261,592 "," 1,191 "," 6,179 "," 1,390 "," 1,463 "," 1,548 "," 1,778 "," 11,087 "," 13,190 "," 11,999 "," 14,132 "," 18,126 "," 17,380 "," 16,322 "," 19,661 "," 21,421 "," 19,110 "," 20,211 "," 19,532 "," 17,082 "," 14,616 "," 8,997 "," 5,634 "," 3,691 "," 1,583 ", 398 , 50 ,
 嘉 義 市 , 男 ," 125,065 ", 625 ," 3,166 ", 734 , 737 , 791 , 904 ," 5,737 "," 6,816 "," 6,239 "," 7,352 "," 9,249 "," 8,825 "," 7,998 "," 9,233 "," 9,961 "," 8,679 "," 9,382 "," 9,149 "," 7,924 "," 6,637 "," 3,808 "," 2,227 "," 1,350 ", 561 , 131 , 16 ,
